Chip Run Filename,C:\Documents and Settings\Administrator\Desktop\Melov Real Time PCR Runs\DonnaRealTime Project_Plate1\ChipRun.bml
Application Version,2.0.2
Application Build,20080502.1530
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear
Ct Threshold Method,Auto (Detectors)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold
S02-A29,6hrs A3,Unknown,1,Cp,Test,999,0,Fail,0.1
S02-A30,6hrs A3,Unknown,1,Dppa5a,Test,24.0171417417879,0.88,Pass,0.0109474022309234
S02-A31,6hrs A3,Unknown,1,Sod2,Test,17.2121425568061,0.94,Pass,0.0193117342570188
S02-A32,6hrs A3,Unknown,1,Mt1,Test,20.5463167657362,0.97,Pass,0.0150165747366286
S02-A33,6hrs A3,Unknown,1,PDK1,Test,23.8304964171067,0.98,Pass,0.0831058699701507
S02-A34,6hrs A3,Unknown,1,Car2,Test,17.014093022123,0.7,Pass,0.0121965143027594
S02-A35,6hrs A3,Unknown,1,Trp53,Test,22.1479666856282,0.95,Pass,0.0194839829779027
S02-A36,6hrs A3,Unknown,1,PDHx,Test,19.0801859290008,0.96,Pass,0.0126570262457584
S02-A37,6hrs A3,Unknown,1,Hmox1,Test,24.255743122203,0.93,Pass,0.0087765704303593
S02-A38,6hrs A3,Unknown,1,Bach1,Test,29.7087613946323,0.83,Pass,0.00898588417366158
S02-A39,6hrs A3,Unknown,1,Fth1,Test,10.8519353135681,0.97,Pass,0.0146163250752354
S02-A40,6hrs A3,Unknown,1,Fxn,Test,19.4111064743529,0.98,Pass,0.0208283161042978
S02-A41,6hrs A3,Unknown,1,Aco2,Test,18.2609109319619,0.97,Pass,0.0206074612287017
S02-A42,6hrs A3,Unknown,1,H2afz (house keeping),Test,19.4276125426346,0.94,Pass,0.00632670523166442
S02-A43,6hrs A3,Unknown,1,Slc11a2,Test,21.8133925402043,0.92,Pass,0.00590284917332172
S02-A44,6hrs A3,Unknown,1,Th,Test,23.0282775196293,0.94,Pass,0.00763526729220294
S02-A45,6hrs A3,Unknown,1,Trfr2,Test,28.7350691788839,0.91,Pass,0.0155279526230004
S02-A46,6hrs A3,Unknown,1,Mt2,Test,14.8662957523439,0.98,Pass,0.0198420617612677
S02-A47,6hrs A3,Unknown,1,LCT,Test,999,0,Fail,0.0162807939869354
S02-A48,6hrs A3,Unknown,1,RPL22 (house keeping),Test,15.0583268491236,0.95,Pass,0.00902334899870637
S46-A01,3 Days D2,Unknown,1,Ftmt,Test,24.6110934626254,0.99,Pass,0.0170975760029845
S46-A02,3 Days D2,Unknown,1,HK1,Test,28.8891099121932,0.92,Pass,0.00522591086698019
S46-A03,3 Days D2,Unknown,1,Epo,Test,999,0,Fail,0.1
